accuracy,precision,recall,f1_score,cross_entropy,training_time
0.478,0.4891041701427869,0.47800000000000004,0.4649270369148442,1.48777376207131,305.06815004348755
epoch,avg_loss,accuracy
0,2.1508375099472645,0.3108
1,1.9996411078044056,0.3387
2,1.9347491117546023,0.368
3,1.9028657095212038,0.3812
4,1.865761920897326,0.3902
5,1.8459874202189652,0.4086
6,1.822679256687944,0.4138
7,1.7993014925415531,0.4187
8,1.7853625738699208,0.425
9,1.7716555716244278,0.4414
10,1.7664879738773858,0.4323
11,1.7473414748788354,0.4408
12,1.7411705945931513,0.4388
13,1.7380123775355358,0.4503
14,1.7297698059255693,0.4474
15,1.7221730879458876,0.4539
16,1.717767840893723,0.458
17,1.7136844388053187,0.4577
18,1.708680166425482,0.4561
19,1.69424675542606,0.4629
20,1.6968327883192085,0.4628
21,1.6949931809823646,0.4672
22,1.691014181080122,0.4678
23,1.6864409573473251,0.4675
24,1.6858348506060399,0.4685
25,1.685606699486777,0.4673
26,1.6802398158054808,0.4663
27,1.679708821182971,0.4693
28,1.6755354592522054,0.4671
29,1.679220187930682,0.4701
30,1.673426531758002,0.4745
31,1.66812797990148,0.4695
32,1.6713024124795017,0.4734
33,1.6715721235941583,0.467
34,1.6697355652740595,0.4694
35,1.6644969236942433,0.4733
36,1.6694040157872805,0.4696
37,1.6675331510760247,0.4712
38,1.6634922131689016,0.4714
39,1.6647684907357023,0.4737
40,1.659281535507748,0.4744
41,1.6570864420713451,0.4763
42,1.6613383721691528,0.4741
43,1.6522276497862594,0.4756
44,1.6592131808849881,0.4754
45,1.6556484239415141,0.4744
46,1.6572893799524038,0.4759
47,1.6576753449039574,0.4761
48,1.650277006931525,0.4771
49,1.6554954400299577,0.478
