accuracy,precision,recall,f1_score,cross_entropy,training_time
0.1,0.01,0.1,0.01818181818181818,nan,339.13772892951965
epoch,avg_loss,accuracy
0,nan,0.1
1,nan,0.1
2,nan,0.1
3,nan,0.1
4,nan,0.1
5,nan,0.1
6,nan,0.1
7,nan,0.1
8,nan,0.1
9,nan,0.1
10,nan,0.1
11,nan,0.1
12,nan,0.1
13,nan,0.1
14,nan,0.1
15,nan,0.1
16,nan,0.1
17,nan,0.1
18,nan,0.1
19,nan,0.1
20,nan,0.1
21,nan,0.1
22,nan,0.1
23,nan,0.1
24,nan,0.1
25,nan,0.1
26,nan,0.1
27,nan,0.1
28,nan,0.1
29,nan,0.1
30,nan,0.1
31,nan,0.1
32,nan,0.1
33,nan,0.1
34,nan,0.1
35,nan,0.1
36,nan,0.1
37,nan,0.1
38,nan,0.1
39,nan,0.1
40,nan,0.1
41,nan,0.1
42,nan,0.1
43,nan,0.1
44,nan,0.1
45,nan,0.1
46,nan,0.1
47,nan,0.1
48,nan,0.1
49,nan,0.1
